fixture_id,team_id,team,opponent_id,opponent,date,opp_n_prior,h2h_n_prior,h2h_last3_winrate,h2h_last3_margin,opp_concede_tries,opp_concede_metres,opp_concede_db,opp_concede_breaks,opp_concede_offloads,opp_concede_passes,opp_concede_lineout_steal,opp_concede_scrums,opp_turnovers_conceded,opp_missed_tackles,opp_runs,opp_tackles,opp_possession,opp_pens_conceded,opp_scrum_success,opp_scrums_won,opp_lineout_success,opp_lineout_steal,team_wr_pos,team_wr_pts,opp_wr_pos,opp_wr_pts,wr_pts_gap,wr_rank_gap
8428840,1517,Wales,1817,Ireland,2024-02-24,17,3,0.3333333333333333,-13.666666666666666,0.998397477874293,306.2739039333599,19.225703774791057,3.018399401044226,5.762986319580882,116.07588307483931,0.10047046787407483,3.3518205602326625,10.98547043590166,19.225703774791057,142.1360591016007,108.99375084003141,0.5845901797941301,11.013480297602134,0.811621940447331,6.173330348918161,0.9780069036732157,1.8695810609640726,8,79.53860099154961,2,92.10678374954988,-12.568182758000262,-6
8428849,2117,Scotland,1667,England,2024-02-24,17,3,1.0,4.666666666666667,2.2324417620591586,314.9834670101926,22.76275745661697,5.205937640481626,6.978599116456084,145.59068481413667,0.49804460011964136,4.966564343190765,11.02182414385583,22.76275745661697,98.2412908747396,132.5357238563946,0.49466694519671306,7.82251993161598,0.6123123041170939,4.675604188564257,0.9195250471145918,0.8291712621422896,6,83.33026853656152,5,85.88644520620582,-2.5561766696443016,-1
8428849,1667,England,2117,Scotland,2024-02-24,17,3,0.0,-4.666666666666667,2.886233996375846,404.0954940415033,17.37545353407375,4.347429761610665,4.416953279848409,155.24564972136827,1.4079194783845201,3.516281535728042,8.766990542099906,17.37545353407375,122.34608299670143,141.49057210363873,0.5100950045961656,10.892993051893704,0.6225914610180618,5.039207448867666,0.7756559613420543,1.8732331017601556,5,85.88644520620582,6,83.33026853656152,2.5561766696443016,1
8428858,1967,France,2873,Italy,2024-02-25,17,3,1.0,28.333333333333332,4.06206695951725,472.21223709500697,29.221872985081678,7.701024601332049,8.630359408513225,195.19590718032757,1.911856602798553,5.04507027417775,13.244028612291082,29.221872985081678,91.81054926909594,179.38726453902558,0.42134519611146193,10.095374274909618,0.8194234818809176,5.140665295874582,0.7430867622295679,0.46791894526423006,4,87.39234275779967,11,75.58337957955605,11.808963178243616,7
8428858,2873,Italy,1967,France,2024-02-25,17,3,0.0,-28.333333333333332,2.877953659368922,409.50094578740845,17.991305118498946,4.3013316832642925,5.445322084831485,163.40778338666578,1.2815986012808127,5.386280631545774,13.659140647142038,17.991305118498946,93.91152048042841,151.45234525104885,0.44317541638261243,8.792127800813573,0.975849881296511,3.1614736593791353,0.8066065045476231,0.5535060225933404,11,75.58337957955605,4,87.39234275779967,-11.808963178243616,-7
8428867,2873,Italy,2117,Scotland,2024-03-09,18,3,0.0,-11.666666666666666,2.5979749351131405,403.4139075217404,18.879647041076517,4.234423741365258,3.630807988182741,152.88890850464534,1.2752383959720297,3.348354293662371,10.469094501191778,18.879647041076517,110.52404975485962,144.2583735052084,0.5035588446376801,10.60253552046785,0.6087380378577221,5.6769805679667975,0.8095952084877289,1.5892027494984813,10,76.58337957955605,6,84.28588620352595,-7.702506623969896,-4
8428867,2117,Scotland,2873,Italy,2024-03-09,18,3,1.0,11.666666666666666,3.0631096707786964,463.00838223151936,30.45443503197033,6.493616157891534,10.055894635450828,193.82705009259118,1.6143759102817572,4.704130451033435,12.51194509876156,30.45443503197033,99.04955280291685,179.2609248021602,0.4404805202695016,10.716732258112554,0.7478395846496525,5.421011440325783,0.8040646388407092,0.641503081357646,6,84.28588620352595,10,76.58337957955605,7.702506623969896,4
8428876,1667,England,1817,Ireland,2024-03-09,18,3,0.0,-16.333333333333332,0.6736479948547653,300.32993774091494,17.85120599543083,2.3618731411706344,4.8642677242731995,124.18296894548621,0.06779036478496828,3.887925100608163,10.664925741346265,17.85120599543083,147.62140557912514,135.34271317120735,0.5765917139000621,11.659637024415337,0.8728958106319807,5.1411388489401295,0.9396227111948798,1.2614610521837342,5,84.93082753924138,2,92.10678374954988,-7.175956210308499,-3
8428876,1817,Ireland,1667,England,2024-03-09,18,3,1.0,16.333333333333332,2.4821485414008144,309.45830078886763,21.863960163469898,4.8136145705092455,6.985561383865464,129.45753741478634,0.6613438262650557,5.628094170845945,14.593312013542885,21.863960163469898,99.13877113976453,123.25230619745686,0.49965518914113277,6.904280341559259,0.7384372561324865,4.130486300832046,0.9229328233841659,0.8847463206080638,2,92.10678374954988,5,84.93082753924138,7.175956210308499,3
8428885,1517,Wales,1967,France,2024-03-10,18,3,0.0,-6.333333333333333,2.2626173926615456,421.46034193410225,16.02817503489463,4.20259638588597,8.248375048860844,166.87846275859192,1.1893291082836404,5.587373871044313,15.081480423825887,16.02817503489463,107.04703913525924,139.83591709055193,0.46834800370319507,9.843229404558727,0.9182303501019591,3.4362278661186303,0.8503146413726266,0.6998056587925999,8,79.53860099154961,4,86.39234275779967,-6.853741766250053,-4
