key,slug,nationality,age,position,height_cm,weight_kg
s|atkinson,sebastien-atkinson,England,24,Centre,179,91
s|taofifenua,sebastien-taofifenua,France,34,Prop,178,130
s|macalou,sekou-macalou,France,31,Back Row,195,108
s|berghan,simon-berghan,,35,Prop,190,118
s|ferrari,simone-ferrari,Italy,32,Prop,184,120
s|gesi,simone-gesi,Italy,25,Outside Back,183,80
s|tuipulotu,sione-tuipulotu,Scotland,29,Centre,179,104
s|falatea,sipili-falatea,France,29,Prop,183,116
s|mcdowall,stafford-mcdowall,Scotland,28,Centre,193,103
s|varney,stephen-varney,Italy,25,Scrum Half,178,78
s|hogg,stuart-hogg,Scotland,33,Outside Back,180,93
s|mccloskey,stuart-mccloskey,Northern Ireland,33,Centre,193,111
t|beirne,tadgh-beirne,Ireland,34,Lock,198,113
t|furlong,tadhg-furlong,Ireland,33,Prop,183,125
t|basham,taine-basham,Wales,26,Back Row,182,94
t|plumtree,taine-plumtree,Wales,26,Back Row,195,108
t|faletau,taulupe-faletau,Wales,35,Back Row,187,111
t|matiu,temo-matiu,France,24,Back Row,191,100
t|attissogbe,theo-attissogbe,France,21,Outside Back,181,79
t|dan,theo-dan,England,25,Hooker,180,100
t|millet,theo-millet,France,28,Centre,189,99
t|flament,thibaud-flament,France,29,Lock,203,116
t|farrell,thomas-farrell,Ireland,32,Centre,188,100
t|laclayat,thomas-laclayat,France,28,Prop,176,125
t|lavault,thomas-lavault,France,27,Lock,198,108
t|ramos,thomas-ramos,France,30,Outside Back,178,87
t|clarkson,tom-clarkson,Ireland,26,Prop,185,118
t|curry,tom-curry,England,28,Back Row,185,110
t|hill,tom-hill,,30,Prop,180,105
t|jordan,tom-jordan,Scotland,27,Fly Half,189,95
t|otoole,tom-otoole,Ireland,27,Prop,183,123
t|roebuck,tom-roebuck,England,25,Outside Back,188,96
t|rogers,tom-rogers,Wales,27,Outside Back,185,91
t|staniforth,tom-staniforth,Australia,31,Lock,198,118
t|stewart,tom-stewart,Northern Ireland,25,Hooker,183,103
t|willis,tom-willis,England,27,Back Row,191,107
t|francis,tomas-francis,Wales,34,Prop,185,135
t|allan,tommaso-allan,Italy,33,Fly Half,184,87
t|dibartolomeo,tommaso-di-bartolomeo,Italy,25,Hooker,180,105
t|menoncello,tommaso-menoncello,Italy,23,Centre,186,90
t|freeman,tommy-freeman,England,25,Outside Back,188,89
t|obrien,tommy-obrien,Ireland,27,Centre,183,95
t|reffell,tommy-reffell,Wales,27,Back Row,184,98
t|williams,tomos-williams,,31,Scrum Half,180,86
t|davison,trevor-davison,England,33,Prop,188,122
u|seunes,ugo-seunes,,25,Outside Back,182,75
u|atonio,uini-atonio,France,36,Prop,196,145
w|hurd,will-hurd,Scotland,26,Prop,186,121
w|john,will-john,Wales,33,Prop,187,127
w|rowlands,will-rowlands,Wales,34,Lock,203,123
w|stuart,will-stuart,England,29,Prop,188,132
w|nel,wp-nel,,0,,0,0
w|jones,wyn-jones,,34,Prop,183,118
y|moefana,yoram-moefana,France,25,Centre,182,97
z|fagerson,zander-fagerson,Scotland,30,Prop,188,125
