season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2022,1266,Six Nations,3,8289844,2022-02-26,Wales,1517,England,1667,away,19,23,L,-4,3,1,2,0,0,6,0,0,0.93,68,461,63,5,2,20,19,0.82,2,3,14,0,7,7,2,0,1,0,19,14,226,0.4,0.6,13,0,0.51,0,0,8,117,109,153,0,1.0,5,168,12,5,1
2022,1266,Six Nations,3,8289853,2022-02-27,Ireland,1817,Italy,2873,home,57,6,W,51,9,0,6,0,0,2,0,0,0.72,91,732,50,10,6,25,24,0.95,1,1,18,0,9,9,0,0,3,0,12,10,282,0.61,0.6,9,0,0.6,0,0,6,124,118,165,0,1.0,5,105,16,4,0
2022,1266,Six Nations,3,8289853,2022-02-27,Italy,2873,Ireland,1817,away,6,57,L,-51,0,9,0,6,2,0,0,0,0.28,24,171,48,0,0,12,33,0.92,1,1,12,1,3,2,0,0,0,1,25,4,87,0.39,0.4,8,2,0.4,0,1,4,72,68,82,0,1.0,7,178,14,8,1
2022,1266,Six Nations,4,8289862,2022-03-11,Wales,1517,France,1967,home,9,13,L,-4,0,1,0,1,3,2,0,0,0.48,52,369,45,1,0,8,39,1.0,1,0,9,0,3,3,0,0,0,0,12,6,158,0.47,0.59,9,3,0.53,0,0,6,90,84,113,1,0.75,9,114,12,2,0
2022,1266,Six Nations,4,8289862,2022-03-11,France,1967,Wales,1517,away,13,9,W,4,1,0,1,0,2,3,0,0,0.52,43,282,46,4,1,12,30,0.93,0,1,13,1,4,3,0,0,0,1,8,10,98,0.53,0.41,8,2,0.47,0,0,1,69,68,98,1,0.83,5,131,15,7,0
2022,1266,Six Nations,4,8289880,2022-03-12,Italy,2873,Scotland,2117,home,22,33,L,-11,3,5,2,4,1,0,0,0,0.64,73,542,44,7,2,29,41,0.92,0,1,11,0,3,3,1,0,1,2,40,9,222,0.5,0.52,7,1,0.51,0,0,7,98,91,126,0,1.0,6,138,12,5,0
2022,1266,Six Nations,4,8289880,2022-03-12,Scotland,2117,Italy,2873,away,33,22,W,11,5,3,4,2,0,1,0,0,0.36,65,636,49,11,4,40,35,0.84,1,3,16,0,6,6,0,0,1,0,29,8,173,0.5,0.48,8,0,0.49,0,0,4,98,94,127,0,1.0,2,157,17,7,0
2022,1266,Six Nations,4,8289871,2022-03-12,England,1667,Ireland,1817,home,15,32,L,-17,0,4,0,3,5,2,0,0,0.27,28,214,29,1,0,7,24,0.87,0,2,13,0,7,7,0,0,0,1,26,4,69,0.46,0.4,8,5,0.43,0,1,3,45,42,59,1,0.7,7,137,6,8,0
2022,1266,Six Nations,4,8289871,2022-03-12,Ireland,1817,England,1667,away,32,15,W,17,4,0,3,0,2,5,0,0,0.73,66,555,73,8,3,26,22,1.0,1,0,9,2,4,2,0,0,1,0,7,11,192,0.54,0.6,15,2,0.57,0,0,2,89,87,143,0,1.0,1,75,17,5,0
2022,1266,Six Nations,5,8289889,2022-03-19,Wales,1517,Italy,2873,home,21,22,L,-1,3,1,3,1,0,5,0,0,0.52,65,421,55,6,3,23,32,0.93,1,1,13,1,8,7,1,0,0,0,20,13,206,0.5,0.57,12,0,0.53,0,0,7,109,102,132,0,1.0,1,121,13,9,0
2022,1266,Six Nations,5,8289889,2022-03-19,Italy,2873,Wales,1517,away,22,21,W,1,1,3,1,3,5,0,0,0,0.48,42,464,49,6,1,20,41,0.88,0,1,7,1,2,1,0,0,0,1,23,7,130,0.5,0.43,9,5,0.47,0,0,7,84,77,98,0,1.0,8,175,10,6,0
2022,1266,Six Nations,5,8289898,2022-03-19,Ireland,1817,Scotland,2117,home,26,5,W,21,4,1,3,0,0,0,0,0,0.7,85,547,26,3,3,14,25,0.95,0,1,19,3,13,10,0,0,1,0,21,5,185,0.48,0.55,10,0,0.51,0,0,2,104,102,126,1,0.8,4,125,15,6,0
2022,1266,Six Nations,5,8289898,2022-03-19,Scotland,2117,Ireland,1817,away,5,26,L,-21,1,4,0,3,0,0,0,0,0.3,48,414,52,5,0,21,25,0.92,1,1,12,0,7,7,1,0,1,0,14,5,149,0.52,0.45,15,0,0.49,0,0,4,88,84,110,1,0.67,4,156,14,8,1
2022,1266,Six Nations,5,8289907,2022-03-19,France,1967,England,1667,home,25,13,W,12,3,1,2,1,2,2,0,0,0.34,43,305,47,3,2,17,30,0.91,0,1,10,0,5,5,0,0,1,1,18,13,100,0.51,0.39,9,2,0.45,0,0,1,71,70,98,0,0.67,6,130,12,6,0
2022,1266,Six Nations,5,8289907,2022-03-19,England,1667,France,1967,away,13,25,L,-12,1,3,1,2,2,2,0,0,0.66,74,588,40,2,1,18,34,1.0,0,0,12,0,4,4,2,0,0,0,17,4,164,0.49,0.61,8,2,0.55,0,0,6,91,85,124,1,0.83,5,103,10,3,0
