fantasy_id,full_name,team,skill_desc,value,api_player_id,rp_slug,in_api,in_rp
229785,Miles Amatosero,Australia,LOCK,4.0,,miles-amatosero,False,True
138498,Tevita Ratuva,Fiji,LOCK,4.0,177156.0,tevita-ratuva,True,True
193699,Embrose Papier,South Africa,SCRUM-HALF,4.0,,embrose-papier,False,True
229863,Cormac Izuchukwu,Ireland,LOCK,4.0,208038.0,cormac-izuchukwu,True,True
111794,Theo Dan,England,HOOKER,4.0,218844.0,theo-dan,True,True
175011,Max Ojomoh,England,CENTRE,4.0,213540.0,max-ojomoh,True,True
214265,Nathan McBeth,Scotland,PROP,4.0,179394.0,nathan-mcbeth,True,True
112404,Aidan Ross,Australia,PROP,4.0,140022.0,aidan-ross,True,True
138016,Henry Slade,England,CENTRE,4.0,114534.0,henry-slade,True,True
252989,Noah Caluori,England,BACK THREE,4.0,,noah-caluori,False,True
169185,Teddy Williams,Wales,LOCK,4.0,203082.0,teddy-williams,True,True
218331,Jarrod Evans,Wales,FLY-HALF,4.0,139716.0,jarrod-evans,True,True
197246,Tom Stewart,Ireland,HOOKER,4.0,201792.0,tom-stewart,True,True
169560,Boan Venter,South Africa,PROP,4.0,207024.0,boan-venter,True,True
123396,Giulio Bertaccini,Italy,CENTRE,4.0,207444.0,giulio-bertaccini,True,True
236722,Quan Horn,South Africa,BACK THREE,4.0,235254.0,quan-horn,True,True
153142,Nick Champion de Crespigny,Australia,LOOSE FORWARD,4.0,182262.0,nick-champion-de-crespigny,True,True
236957,Max Williamson,Scotland,LOCK,4.0,231570.0,max-williamson,True,True
