id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
198661,Dylan Riley,Japan,2,Centre,5.0,1.3,P,Ireland,True,39,2315,-19.8,0.998,11.41,78.9,12.42,5.63
207407,Demba Bamba,France,1,Prop,4.5,4.6,P,Australia,False,21,2156,4.9,1.0,13.68,47.0,8.86,4.01
199383,Ciaran Frawley,Ireland,1,Fly Half,4.5,0.5,P,Japan,False,14,2345,19.8,0.998,18.03,67.0,16.66,7.55
154414,Kanji Shimokawa,Japan,2,Loose Forward,4.0,0.6,P,Ireland,True,24,3504,-19.8,0.998,12.87,67.6,12.0,5.44
109697,Nolann le Garrec,France,1,Scrum Half,4.0,0.7,B,Australia,False,16,3911,4.9,1.0,21.32,14.6,4.31,11.71
105892,Adam Beard,Wales,1,Lock,4.0,2.6,P,Argentina,False,45,2706,-20.2,1.0,12.35,69.1,11.77,5.33
136875,Gianmarco Lucchesi,Italy,1,Hooker,3.5,0.4,B,New Zealand,False,32,0,-33.5,0.962,22.73,27.6,8.6,23.55
239482,Asher Opoku-Fordjour,England,1,Prop,3.5,0.2,B,Fiji,False,7,0,2.8,1.0,13.08,21.9,3.94,10.72
261209,Sojiro Otsuka,Japan,2,Prop,3.0,0.1,B,Ireland,True,1,0,-19.8,0.998,15.33,21.0,4.44,12.07
154458,Matias Moroni,Argentina,2,Centre,5.5,0.5,B,Wales,True,49,1645,20.2,1.0,18.0,20.6,5.12,13.92
237231,Mirco Spagnolo,Italy,1,Prop,4.0,0.3,B,New Zealand,False,25,1447,-33.5,0.962,17.58,24.3,5.89,16.03
237261,Alex Samuel,Scotland,1,Lock,3.5,0.2,B,South Africa,False,4,1891,-25.7,1.0,11.51,28.0,4.45,12.09
110891,Stephen Varney,Italy,1,Scrum Half,4.0,2.9,P,New Zealand,False,39,2848,-33.5,0.962,9.76,59.7,8.04,3.64
153525,Rory Sutherland,Scotland,1,Prop,4.0,0.2,B,South Africa,False,42,1211,-25.7,1.0,14.68,18.3,3.71,10.09
236606,Leonardo Marin,Italy,1,Fly Half,4.0,0.1,B,New Zealand,False,24,1662,-33.5,0.962,13.75,12.0,2.27,6.17
240916,Boris Wenger,Argentina,2,Prop,4.0,0.2,P,Wales,True,7,392,20.2,1.0,15.69,72.0,15.58,7.06
235935,Ignacio Ruiz,Argentina,2,Hooker,4.0,0.2,B,Wales,True,28,1936,20.2,1.0,17.97,14.7,3.64,9.89
174208,Riccardo Favretto,Italy,1,Lock,4.0,0.1,B,New Zealand,False,14,1956,-33.5,0.962,13.95,16.1,3.11,8.45
170835,James Slipper,Australia,2,Prop,4.0,0.2,B,France,True,56,2086,-4.9,1.0,14.09,25.4,4.94,13.43
147486,Tadhg Beirne,Ireland,1,Lock,7.5,9.7,P,Japan,False,63,0,19.8,0.998,12.55,73.9,12.79,5.8
156918,Tommy Freeman,England,1,Back Three,7.0,15.7,P,Fiji,False,34,4412,2.8,1.0,22.1,76.2,23.0,10.52
180382,Bautista Delguy,Argentina,2,Back Three,5.0,3.1,P,Wales,True,26,4083,20.2,1.0,18.46,66.1,16.82,7.62
130282,Tommaso Allan,Italy,1,Fly Half,5.0,0.4,P,New Zealand,False,35,2621,-33.5,0.962,10.59,73.3,10.7,4.85
229826,Jamie Osborne,Ireland,1,Centre,5.0,5.8,P,Japan,False,17,2916,19.8,0.998,16.99,72.8,17.06,7.73
249307,Ellis Mee,Wales,1,Back Three,4.5,0.2,P,Argentina,False,9,2321,-20.2,1.0,11.01,69.9,10.62,4.81
138016,Henry Slade,England,1,Centre,4.0,0.6,P,Fiji,False,45,3985,2.8,1.0,14.36,74.6,14.77,6.69
161973,Simione Kuruvoli,Fiji,2,Scrum Half,4.0,0.3,P,England,True,25,852,-2.8,1.0,16.91,68.2,15.91,7.21
157406,Bundee Aki,Ireland,1,Centre,6.0,3.5,B,Japan,False,48,2866,19.8,0.998,18.06,26.7,6.66,18.11
157863,Finn Russell,Scotland,1,Fly Half,8.5,17.1,P,South Africa,False,50,4810,-25.7,1.0,16.64,74.8,17.17,7.78
219771,Handre Pollard,South Africa,2,Fly Half,8.0,1.5,P,Scotland,True,34,3457,25.7,1.0,20.84,69.3,19.93,9.03
204526,Marcos Kremer,Argentina,2,Loose Forward,6.0,1.2,P,Wales,True,53,3253,20.2,1.0,10.26,71.8,10.15,4.6
225671,Samisoni Taukeiaho,New Zealand,2,Hooker,6.0,1.0,B,Italy,True,43,1946,33.5,0.962,27.02,24.1,8.9,24.44
156336,Tom Wright,Australia,2,Back Three,6.0,1.3,P,France,True,44,2720,-4.9,1.0,13.0,74.4,13.34,6.04
114362,Evan Roos,South Africa,2,Loose Forward,5.5,0.3,P,Scotland,True,8,2846,25.7,1.0,21.18,49.5,14.47,6.56
