id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,mkt_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
229826,Jamie Osborne,Ireland,1,Centre,5.0,5.8,P,Australia,False,15,0,8.6,1.0,18.51,74.2,18.94,8.58
140735,Naoto Saito,Japan,2,Scrum Half,4.5,1.3,P,Italy,True,13,0,-7.9,0.992,11.47,65.7,10.4,4.71
137453,Josh Adams,Wales,1,Back Three,4.5,7.0,P,Fiji,False,17,0,-8.9,0.989,14.62,76.3,15.38,6.97
110319,Nicky Smith,Wales,1,Prop,4.5,0.5,B,Fiji,False,19,0,-8.9,0.989,19.1,33.4,8.73,23.95
142873,Ben Gunter,Japan,2,Loose Forward,4.5,10.7,P,Italy,True,12,0,-7.9,0.992,11.47,72.2,11.42,5.18
243508,Tom Jordan,Scotland,1,Centre,4.5,3.0,P,Argentina,False,18,0,-9.7,1.0,17.45,77.7,18.69,8.47
106142,Luke Cowan-Dickie,England,1,Hooker,4.5,0.8,B,South Africa,False,17,0,-24.9,1.0,22.31,27.0,8.29,22.62
103703,Harry Hockings,Japan,2,Lock,4.5,1.3,P,Italy,True,2,0,-7.9,0.992,12.09,72.0,12.01,5.44
112684,Guy Pepper,England,1,Loose Forward,4.5,1.1,B,South Africa,False,12,0,-24.9,1.0,22.39,17.7,5.46,14.85
236609,Lorenzo Pani,Italy,1,Back Three,4.5,2.2,P,Japan,False,10,0,7.9,0.992,18.44,71.3,18.14,8.22
237233,Ross Vintcent,Italy,1,Loose Forward,4.5,6.2,B,Japan,False,19,0,7.9,0.992,20.81,28.4,8.15,22.2
189326,Marcus Smith,England,1,Fly Half,4.5,2.2,B,South Africa,False,24,0,-24.9,1.0,19.44,29.6,7.94,21.59
240799,Josh Canham,Australia,2,Lock,4.5,3.1,P,Ireland,True,2,0,-8.6,1.0,7.26,72.0,7.21,3.27
119955,Rhys Carre,Wales,1,Prop,4.5,28.7,P,Fiji,False,8,0,-8.9,0.989,19.25,47.0,12.48,5.65
188057,Ben White,Scotland,1,Scrum Half,4.5,4.5,P,Argentina,False,20,0,-9.7,1.0,16.07,60.6,13.43,6.09
222920,Gregor Brown,Scotland,1,Lock,4.5,0.5,B,Argentina,False,16,0,-9.7,1.0,22.97,22.2,7.02,19.09
182760,Mayco Vivas,Argentina,2,Prop,4.5,3.4,P,Scotland,True,19,0,9.7,1.0,6.34,52.8,4.61,2.09
