target,weight_v4,development_score,selection_score
defenders_beaten,0.2,0.8917178449808257,0.9007127310657039
defenders_beaten,0.25,0.8916737412064196,0.8998310311526728
defenders_beaten,0.3,0.8923948573401342,0.8995676261952457
defenders_beaten,0.35,0.8937934756781694,0.8998809763371516
defenders_beaten,0.4,0.8958086048603273,0.9007406234558761
defenders_beaten,0.45,0.8983954660076845,0.9021235608164765
defenders_beaten,0.5,0.9015201585397267,0.9040124410044456
defenders_beaten,0.55,0.9051566731211271,0.9063946423298598
defenders_beaten,0.6,0.9092851096198006,0.909261814978541
defenders_beaten,0.65,0.9138905821205424,0.9126097529598165
defenders_beaten,0.7,0.9189625579497815,0.9164385413263773
defenders_beaten,0.75,0.9244945054392174,0.9207529921417966
defenders_beaten,0.8,0.9304837976540513,0.9255634423922304
defenders_beaten,0.85,0.936931873331578,0.9308870685213672
defenders_beaten,0.9,0.9438447169213974,0.9367500132071521
defenders_beaten,0.95,0.9512338216827985,0.9431909021722943
defenders_beaten,1.0,0.9591180280833596,0.9502669743743706
clean_breaks,0.0,0.9732689285727237,1.0089858676466223
clean_breaks,0.05,0.9549768937778667,0.9723704567257033
clean_breaks,0.1,0.9533857955922311,0.9696170120097433
clean_breaks,0.15,0.9527048279294369,0.9682195784915754
clean_breaks,0.2,0.9526619056124476,0.9676832097875862
clean_breaks,0.25,0.9531485634744281,0.9678229528369849
clean_breaks,0.3,0.9541060074455019,0.968538126628037
clean_breaks,0.35,0.9554983709329441,0.9697631773220622
clean_breaks,0.4,0.95730299611243,0.9714510566057118
clean_breaks,0.45,0.959506021369632,0.9735660423128231
clean_breaks,0.5,0.962100120877243,0.9760800984459826
clean_breaks,0.55,0.9650832932435326,0.978970812360166
clean_breaks,0.6,0.9684582470216481,0.9822201314963368
clean_breaks,0.65,0.9722321834902696,0.9858135496444843
clean_breaks,0.7,0.9764168950459612,0.9897395696424275
clean_breaks,0.75,0.9810291671122899,0.9939893512125811
clean_breaks,0.8,0.9860915287274648,0.9985564944795263
clean_breaks,0.85,0.9916334649574252,1.0034369336268743
clean_breaks,0.9,0.9976933101639103,1.0086289310211527
clean_breaks,0.95,1.0043212352939406,1.0141331751511564
clean_breaks,1.0,1.0115841408707753,1.0199529995387586
offload,0.0,0.9609998164384337,0.9401918374774508
offload,0.05,0.9411153019691356,0.940272393482198
offload,0.1,0.9387568803098352,0.9406801023379056
offload,0.15,0.9372980590567856,0.9413894846574412
offload,0.2,0.9364587204983622,0.9423800488799934
