target,reference,opponent,metric,n_pairs,mean_difference,p025,p975,negative_blocks,positive_blocks,leave_one_min,leave_one_max
tackle_turnover,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0007079384632720357,-0.004312152045760377,0.0023711688013605533,14,8,-0.0016357214479974487,0.0006810230741550685
tackles,p3_robust_native,empirical_event,relative_loss,22,-0.20971401562228234,-0.27314386648662503,-0.15098805487978897,22,0,-0.21767078841110094,-0.1941563881341301
tackles,p3_robust_native,p3_rolling_native,relative_loss,22,-0.014766992401001761,-0.023450064439430596,-0.007373228596480357,18,4,-0.01602462508366981,-0.011787016161972239
tackles,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0024665961807172417,-0.0068330911712830835,0.0018843346328688752,12,10,-0.003574307501357946,-0.0015783525362351512
tries,p3_robust_native,empirical_event,relative_loss,22,-0.017485863641845078,-0.03014216766642938,-0.007385564891721817,19,3,-0.018488082518702487,-0.013263664785050958
tries,p3_robust_native,p3_rolling_native,relative_loss,22,0.012159072389246633,0.006732360912547197,0.017345048399673733,4,18,0.011171988060330647,0.013238078223978949
tries,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0023577280328620294,-0.0053653074268247706,0.0007203458898693201,14,8,-0.003237511903820695,-0.0017838572395969638
try_assists,p3_robust_native,empirical_event,relative_loss,22,-0.021740660301171392,-0.03644168142130324,-0.011213638889436524,21,1,-0.02293950317335007,-0.01588423980479405
try_assists,p3_robust_native,p3_rolling_native,relative_loss,22,0.009427537643101285,0.004352080868933929,0.014638972225440708,6,16,0.008163773609937216,0.010688795510785106
try_assists,p3_robust_native,p3_weighted_native,relative_loss,22,-0.001297753561843241,-0.0045336203348731495,0.0018585717361246784,10,12,-0.0018255330739720623,-0.00034854814853988554
turnovers_conceded,p3_robust_native,empirical_event,relative_loss,22,-0.02264565733933664,-0.03409997125065392,-0.012403628787181674,19,3,-0.024282779787839933,-0.019740946764197225
turnovers_conceded,p3_robust_native,p3_rolling_native,relative_loss,22,-0.001104796282064401,-0.0033839631046360757,0.001361499655556647,14,8,-0.0017560110845247117,-0.00064481093643976
turnovers_conceded,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0030671349921702366,-0.005392848872218851,-0.0004684447567038988,17,5,-0.0038494607819768247,-0.0025412025934058763
yellow_cards,p3_robust_native,empirical_event,relative_loss,22,-0.05974445367516204,-0.07909983871257756,-0.040606777121589874,21,1,-0.06510071342725823,-0.055519519658233325
yellow_cards,p3_robust_native,p3_rolling_native,relative_loss,22,-0.002305997717010884,-0.0053048474014354375,0.0003915497010642955,14,8,-0.0028932129747324398,-0.0013192821473289621
yellow_cards,p3_robust_native,p3_weighted_native,relative_loss,22,-0.002305997717010884,-0.0053048474014354375,0.0003915497010642955,14,8,-0.0028932129747324398,-0.0013192821473289621
