fixture_id,player_id,team,id,name,position,status,actual,predicted,is_sub,is_capt,slate,engine,multiplier,contribution,in_both_squads
291593,339450,France,244532,Theo Attissogbe,Back-three,P,44.0,27.528154929096715,False,False,ncr_2026_r3,p3_robust_native,1,44.0,True
291589,359274,Argentina,246851,Toms Rapetti,Prop,P,8.0,15.110019942783616,False,False,ncr_2026_r3,p3_robust_native,1,8.0,False
291593,354888,France,250067,Fabien Brau-Boirie,Centre,P,18.0,27.21860491529135,False,False,ncr_2026_r3,p3_robust_native,1,18.0,True
8476108,119118,Wales,4,Gareth Thomas,Prop,P,18.0,13.789528379701595,False,False,six_nations_2025_r1,empirical_baseline,1,18.0,False
8476108,129822,France,13,Thomas Ramos,Back-three,P,37.0,41.230207190046094,False,True,six_nations_2025_r1,empirical_baseline,2,74.0,True
8476108,135318,France,16,Antoine Dupont,Scrum-half,P,31.0,38.49875557956808,False,False,six_nations_2025_r1,empirical_baseline,1,31.0,True
8476108,147480,France,20,Peato Mauvaka,Hooker,P,15.0,23.757488916201545,False,False,six_nations_2025_r1,empirical_baseline,1,15.0,True
8476108,203070,Wales,35,Jac Morgan,Back-row,P,49.0,32.48057165254121,False,False,six_nations_2025_r1,empirical_baseline,1,49.0,True
8476108,232104,Wales,41,Dafydd Jenkins,Second-row,P,35.0,20.30531552484893,False,False,six_nations_2025_r1,empirical_baseline,1,35.0,False
8476117,117894,Scotland,51,Finn Russell,Fly-half,P,19.0,31.62485576115255,False,False,six_nations_2025_r1,empirical_baseline,1,19.0,True
8476117,131400,Scotland,61,Duhan van der Merwe,Back-three,P,27.0,32.443829305670604,False,False,six_nations_2025_r1,empirical_baseline,1,27.0,True
8476117,136776,Scotland,64,Huw Jones,Centre,P,66.0,27.509295322140435,False,False,six_nations_2025_r1,empirical_baseline,1,66.0,True
8476117,146754,Scotland,69,Darcy Graham,Back-three,P,41.0,33.40968616740751,False,False,six_nations_2025_r1,empirical_baseline,1,41.0,True
8476126,114804,Ireland,96,Bundee Aki,Centre,P,31.0,26.90461299486393,False,False,six_nations_2025_r1,empirical_baseline,1,31.0,True
8476126,122652,England,104,Maro Itoje,Second-row,P,16.0,21.094957603815168,False,False,six_nations_2025_r1,empirical_baseline,1,16.0,True
8476126,136680,England,106,Ellis Genge,Prop,P,14.0,14.602585962605533,False,False,six_nations_2025_r1,empirical_baseline,1,14.0,True
8476126,142404,England,109,Ben Earl,Back-row,P,26.0,28.00537677643544,False,False,six_nations_2025_r1,empirical_baseline,1,26.0,False
8476126,148680,Ireland,115,Caelan Doris,Back-row,P,25.0,28.970976394379186,False,False,six_nations_2025_r1,empirical_baseline,1,25.0,True
8476126,164394,England,119,Tom Willis,Back-row,B,5.0,11.47010053657954,True,False,six_nations_2025_r1,empirical_baseline,3,15.0,False
8476108,129822,France,13,Thomas Ramos,Back-three,P,37.0,38.63593584415226,False,False,six_nations_2025_r1,p3_robust_native,1,37.0,True
8476108,135318,France,16,Antoine Dupont,Scrum-half,P,31.0,38.88631473217584,False,True,six_nations_2025_r1,p3_robust_native,2,62.0,True
8476108,147480,France,20,Peato Mauvaka,Hooker,P,15.0,21.531486569444017,False,False,six_nations_2025_r1,p3_robust_native,1,15.0,True
8476108,166476,France,27,Emmanuel Meafou,Second-row,P,19.0,19.68810746125913,False,False,six_nations_2025_r1,p3_robust_native,1,19.0,False
8476108,203070,Wales,35,Jac Morgan,Back-row,P,49.0,27.000416189416494,False,False,six_nations_2025_r1,p3_robust_native,1,49.0,True
8476117,117894,Scotland,51,Finn Russell,Fly-half,P,19.0,31.34685138896367,False,False,six_nations_2025_r1,p3_robust_native,1,19.0,True
8476117,131400,Scotland,61,Duhan van der Merwe,Back-three,P,27.0,31.60285834657816,False,False,six_nations_2025_r1,p3_robust_native,1,27.0,True
8476117,136776,Scotland,64,Huw Jones,Centre,P,66.0,27.112559196979777,False,False,six_nations_2025_r1,p3_robust_native,1,66.0,True
8476117,146754,Scotland,69,Darcy Graham,Back-three,P,41.0,33.39132566879819,False,False,six_nations_2025_r1,p3_robust_native,1,41.0,True
8476117,164232,Italy,73,Danilo Fischetti,Prop,P,26.0,10.940743387793711,False,False,six_nations_2025_r1,p3_robust_native,1,26.0,False
8476126,114804,Ireland,96,Bundee Aki,Centre,P,31.0,25.241769889895277,False,False,six_nations_2025_r1,p3_robust_native,1,31.0,True
8476126,118518,Ireland,100,Josh van der Flier,Back-row,P,24.0,24.852379305419703,False,False,six_nations_2025_r1,p3_robust_native,1,24.0,False
8476126,122652,England,104,Maro Itoje,Second-row,P,16.0,18.78919936002876,False,False,six_nations_2025_r1,p3_robust_native,1,16.0,True
8476126,136680,England,106,Ellis Genge,Prop,P,14.0,12.811094411781315,False,False,six_nations_2025_r1,p3_robust_native,1,14.0,True
8476126,148680,Ireland,115,Caelan Doris,Back-row,P,25.0,27.861755907663174,False,False,six_nations_2025_r1,p3_robust_native,1,25.0,True
8476126,186096,Ireland,124,Dan Sheehan,Hooker,B,25.0,9.785270592361485,True,False,six_nations_2025_r1,p3_robust_native,3,75.0,False
8476135,134016,Italy,15,Monty Ioane,Back-three,P,8.0,29.71166743590021,False,False,six_nations_2025_r2,empirical_baseline,1,8.0,True
8476135,203070,Wales,30,Jac Morgan,Back-row,P,23.0,31.242270804523105,False,False,six_nations_2025_r2,empirical_baseline,1,23.0,True
8476135,226818,Italy,36,Tommaso Menoncello,Centre,P,8.0,27.01208423019593,False,False,six_nations_2025_r2,empirical_baseline,1,8.0,True
8476135,226926,Wales,38,Freddie Thomas,Second-row,P,16.0,20.21503037649488,False,False,six_nations_2025_r2,empirical_baseline,1,16.0,False
8476144,122652,England,51,Maro Itoje,Second-row,P,21.0,19.16786030718629,False,False,six_nations_2025_r2,empirical_baseline,1,21.0,True
8476144,129822,France,53,Thomas Ramos,Back-three,P,34.0,35.05943609022002,False,False,six_nations_2025_r2,empirical_baseline,1,34.0,True
8476144,135318,France,56,Antoine Dupont,Scrum-half,P,13.0,33.33605851765929,False,False,six_nations_2025_r2,empirical_baseline,1,13.0,True
8476144,136680,England,57,Ellis Genge,Prop,P,18.0,14.681867446371644,False,False,six_nations_2025_r2,empirical_baseline,1,18.0,True
8476144,139668,France,58,Damian Penaud,Back-three,P,37.0,34.20868425594634,False,False,six_nations_2025_r2,empirical_baseline,1,37.0,True
8476144,164394,England,69,Tom Willis,Back-row,P,34.0,35.24162954686641,False,True,six_nations_2025_r2,empirical_baseline,2,68.0,True
8476144,169662,France,72,Matthieu Jalibert,Fly-half,P,24.0,26.236917324940325,False,False,six_nations_2025_r2,empirical_baseline,1,24.0,True
8476153,114804,Ireland,96,Bundee Aki,Centre,P,6.0,24.913787684627284,False,False,six_nations_2025_r2,empirical_baseline,1,6.0,False
8476153,130530,Scotland,108,Zander Fagerson,Prop,P,15.0,14.031777254639357,False,False,six_nations_2025_r2,empirical_baseline,1,15.0,True
8476153,148644,Ireland,120,Ronan Kelleher,Hooker,P,8.0,21.426862439253057,False,False,six_nations_2025_r2,empirical_baseline,1,8.0,True
8476153,148680,Ireland,121,Caelan Doris,Back-row,P,53.0,27.723285149842123,False,False,six_nations_2025_r2,empirical_baseline,1,53.0,True
8476153,186096,Ireland,126,Dan Sheehan,Hooker,B,10.0,11.512961572334792,True,False,six_nations_2025_r2,empirical_baseline,3,30.0,True
8476135,134016,Italy,15,Monty Ioane,Back-three,P,8.0,27.608434566352575,False,False,six_nations_2025_r2,p3_robust_native,1,8.0,True
8476135,203070,Wales,30,Jac Morgan,Back-row,P,23.0,31.58629893241837,False,False,six_nations_2025_r2,p3_robust_native,1,23.0,True
8476135,226818,Italy,36,Tommaso Menoncello,Centre,P,8.0,26.35322914933288,False,False,six_nations_2025_r2,p3_robust_native,1,8.0,True
8476144,122652,England,51,Maro Itoje,Second-row,P,21.0,20.214711624757214,False,False,six_nations_2025_r2,p3_robust_native,1,21.0,True
8476144,129822,France,53,Thomas Ramos,Back-three,P,34.0,33.48503563771882,False,True,six_nations_2025_r2,p3_robust_native,2,68.0,True
8476144,135318,France,56,Antoine Dupont,Scrum-half,P,13.0,31.528487936607977,False,False,six_nations_2025_r2,p3_robust_native,1,13.0,True
8476144,136680,England,57,Ellis Genge,Prop,P,18.0,14.219352954026366,False,False,six_nations_2025_r2,p3_robust_native,1,18.0,True
8476144,139668,France,58,Damian Penaud,Back-three,P,37.0,32.28793118433276,False,False,six_nations_2025_r2,p3_robust_native,1,37.0,True
8476144,164394,England,69,Tom Willis,Back-row,P,34.0,31.489782968362903,False,False,six_nations_2025_r2,p3_robust_native,1,34.0,True
8476144,169662,France,72,Matthieu Jalibert,Fly-half,P,24.0,25.760015036263678,False,False,six_nations_2025_r2,p3_robust_native,1,24.0,True
8476153,117852,Scotland,97,Jonny Gray,Second-row,P,15.0,20.8423843881421,False,False,six_nations_2025_r2,p3_robust_native,1,15.0,False
8476153,130530,Scotland,108,Zander Fagerson,Prop,P,15.0,15.921721582137089,False,False,six_nations_2025_r2,p3_robust_native,1,15.0,True
8476153,136776,Scotland,113,Huw Jones,Centre,P,24.0,25.85627524799621,False,False,six_nations_2025_r2,p3_robust_native,1,24.0,False
8476153,148644,Ireland,120,Ronan Kelleher,Hooker,P,8.0,21.381340695789326,False,False,six_nations_2025_r2,p3_robust_native,1,8.0,True
8476153,148680,Ireland,121,Caelan Doris,Back-row,P,53.0,29.78378354003172,False,False,six_nations_2025_r2,p3_robust_native,1,53.0,True
8476153,186096,Ireland,126,Dan Sheehan,Hooker,B,10.0,10.918721118422514,True,False,six_nations_2025_r2,p3_robust_native,3,30.0,True
8476162,111564,Wales,3,WillGriff John,Prop,P,14.0,17.101655990390686,False,False,six_nations_2025_r3,empirical_baseline,1,14.0,False
8476162,114804,Ireland,5,Bundee Aki,Centre,B,11.0,9.459664771730669,True,False,six_nations_2025_r3,empirical_baseline,3,33.0,False
8476162,120468,Ireland,11,James Lowe,Back-three,P,19.0,31.04914257592245,False,False,six_nations_2025_r3,empirical_baseline,1,19.0,True
8476162,122568,Wales,15,Will Rowlands,Second-row,P,21.0,17.86331180108122,False,False,six_nations_2025_r3,empirical_baseline,1,21.0,False
8476162,186096,Ireland,28,Dan Sheehan,Hooker,P,18.0,26.554843496339835,False,False,six_nations_2025_r3,empirical_baseline,1,18.0,True
8476162,203070,Wales,31,Jac Morgan,Back-row,P,37.0,32.51904344244588,False,False,six_nations_2025_r3,empirical_baseline,1,37.0,True
8476162,232104,Wales,39,Dafydd Jenkins,Second-row,P,13.0,21.38825164144675,False,False,six_nations_2025_r3,empirical_baseline,1,13.0,True
8476171,130290,Scotland,57,Pierre Schoeman,Prop,P,5.0,15.983498250492492,False,False,six_nations_2025_r3,empirical_baseline,1,5.0,True
8476171,136776,Scotland,63,Huw Jones,Centre,P,22.0,23.740044455879676,False,False,six_nations_2025_r3,empirical_baseline,1,22.0,True
8476171,142404,England,66,Ben Earl,Back-row,P,34.0,28.145892163867128,False,False,six_nations_2025_r3,empirical_baseline,1,34.0,False
8476171,156288,England,73,Marcus Smith,Back-three,P,20.0,31.84155670894154,False,False,six_nations_2025_r3,empirical_baseline,1,20.0,False
8476171,164394,England,76,Tom Willis,Back-row,P,10.0,30.94072135409476,False,False,six_nations_2025_r3,empirical_baseline,1,10.0,True
8476171,172416,England,77,Ollie Sleightholme,Back-three,P,5.0,30.48052170110504,False,False,six_nations_2025_r3,empirical_baseline,1,5.0,False
8476180,129822,France,101,Thomas Ramos,Fly-half,P,36.0,37.0572676191881,False,True,six_nations_2025_r3,empirical_baseline,2,72.0,True
8476180,135318,France,104,Antoine Dupont,Scrum-half,P,90.0,34.24114369789027,False,False,six_nations_2025_r3,empirical_baseline,1,90.0,True
8476180,226818,Italy,129,Tommaso Menoncello,Centre,P,38.0,23.860917394056933,False,False,six_nations_2025_r3,empirical_baseline,1,38.0,False
8476162,120468,Ireland,11,James Lowe,Back-three,P,19.0,28.150674192839887,False,False,six_nations_2025_r3,p3_robust_native,1,19.0,True
8476162,166674,Ireland,24,Mack Hansen,Back-three,P,10.0,27.582699739934935,False,False,six_nations_2025_r3,p3_robust_native,1,10.0,False
8476162,186096,Ireland,28,Dan Sheehan,Hooker,P,18.0,25.570453343833268,False,False,six_nations_2025_r3,p3_robust_native,1,18.0,True
8476162,203070,Wales,31,Jac Morgan,Back-row,P,37.0,32.64090428990881,False,False,six_nations_2025_r3,p3_robust_native,1,37.0,True
8476162,232104,Wales,39,Dafydd Jenkins,Second-row,P,13.0,24.202325106296627,False,False,six_nations_2025_r3,p3_robust_native,1,13.0,True
8476171,122652,England,55,Maro Itoje,Second-row,P,19.0,21.659450386557936,False,False,six_nations_2025_r3,p3_robust_native,1,19.0,False
8476171,130290,Scotland,57,Pierre Schoeman,Prop,P,5.0,15.38964487747734,False,False,six_nations_2025_r3,p3_robust_native,1,5.0,True
8476171,136680,England,62,Ellis Genge,Prop,P,13.0,16.837810607053363,False,False,six_nations_2025_r3,p3_robust_native,1,13.0,False
8476171,136776,Scotland,63,Huw Jones,Centre,P,22.0,22.94281508946495,False,False,six_nations_2025_r3,p3_robust_native,1,22.0,True
8476171,164394,England,76,Tom Willis,Back-row,P,10.0,34.32643915849136,False,False,six_nations_2025_r3,p3_robust_native,1,10.0,True
8476171,177378,England,78,Ollie Lawrence,Centre,P,17.0,21.508229126084224,False,False,six_nations_2025_r3,p3_robust_native,1,17.0,False
8476171,187422,Scotland,82,Ewan Ashman,Hooker,B,1.0,9.669467568036316,True,False,six_nations_2025_r3,p3_robust_native,3,3.0,False
8476180,129822,France,101,Thomas Ramos,Fly-half,P,36.0,36.41492959618017,False,True,six_nations_2025_r3,p3_robust_native,2,72.0,True
8476180,135318,France,104,Antoine Dupont,Scrum-half,P,90.0,32.75566123678418,False,False,six_nations_2025_r3,p3_robust_native,1,90.0,True
8476180,176748,France,113,Gregory Alldritt,Back-row,P,47.0,30.75106711561725,False,False,six_nations_2025_r3,p3_robust_native,1,47.0,False
8476180,231684,France,131,Louis Bielle-Biarrey,Back-three,P,37.0,28.570499740271902,False,False,six_nations_2025_r3,p3_robust_native,1,37.0,False
8476189,114804,Ireland,3,Bundee Aki,Centre,P,13.0,24.47414067830312,False,False,six_nations_2025_r4,empirical_baseline,1,13.0,False
8476189,135318,France,15,Antoine Dupont,Scrum-half,P,14.0,28.75165337802999,False,False,six_nations_2025_r4,empirical_baseline,1,14.0,True
