slate,engine,bin,min_prediction,max_prediction,n,n_labelled,predicted_mean,actual_mean,bias,mae,rmse,spearman
six_nations_2026_r4,empirical_baseline,1,2.150332191730782,7.11600954706512,28,28,4.761567782634218,6.857142857142857,-2.0955750745086394,4.760619276259492,6.160579837092206,-0.04061486204311354
six_nations_2026_r4,empirical_baseline,2,7.123635656558677,10.997737028911752,27,27,8.780537236519528,7.407407407407407,1.3731298291121194,3.603462484477288,5.144309060269092,0.08176431795112085
six_nations_2026_r4,empirical_baseline,3,11.166353940625685,17.72953673717607,28,28,14.808779782616913,15.0,-0.19122021738308956,6.20144853272072,8.069657754403877,0.22149152765530877
six_nations_2026_r4,empirical_baseline,4,18.12561959403292,22.719214717373017,27,27,20.141419780016914,22.74074074074074,-2.599320960723826,7.8159096548124545,10.139657501947143,0.16860515635586193
six_nations_2026_r4,empirical_baseline,5,22.82158848350462,37.05759271604253,28,28,26.747052977582374,31.0,-4.252947022417631,12.468564365204662,16.65828447399217,-0.227154577396121
six_nations_2026_r4,p3_robust_native,1,3.754920724271753,7.319850721863007,28,28,5.923701766200165,5.607142857142857,0.3165589090573082,3.6631526984899425,4.818402488609775,-0.024508249567717372
six_nations_2026_r4,p3_robust_native,2,7.385950922563738,12.30781022066635,27,27,9.55117425852607,8.814814814814815,0.7363594437112561,4.3111434393448995,5.538621732818665,0.15266982215232675
six_nations_2026_r4,p3_robust_native,3,12.344956377948249,18.04455879674796,28,28,15.127905055838344,15.142857142857142,-0.014952087018796753,6.5352640922033585,8.296941934532585,0.3023993835199956
six_nations_2026_r4,p3_robust_native,4,18.3499288937619,23.14559922001864,27,27,20.311674241075778,24.333333333333332,-4.021659092257557,9.710824477847448,13.373018333956118,0.08481362475069051
six_nations_2026_r4,p3_robust_native,5,23.362742695429883,41.09844892222091,28,28,27.40984707040557,29.214285714285715,-1.804438643880141,10.489700916094574,14.476211206593964,-0.16038407920144826
six_nations_2026_r5,empirical_baseline,1,1.98606855162278,6.412157901033567,28,28,3.9673353745564373,4.892857142857143,-0.9255217683007056,3.7276391621486864,5.620231280551433,0.47948637200828104
six_nations_2026_r5,empirical_baseline,2,6.566791954564979,11.170834929221655,27,27,8.541567949241587,10.185185185185185,-1.6436172359435999,4.267533851642985,6.361309487743234,0.41661941033740346
six_nations_2026_r5,empirical_baseline,3,11.972387915017515,16.82672639765212,28,28,14.757475532551274,17.071428571428573,-2.313953038877294,6.275721288896853,7.9013363441682545,0.15980317386453805
six_nations_2026_r5,empirical_baseline,4,17.020020605581735,21.62124960806464,27,27,19.6424180819289,22.40740740740741,-2.7649893254785107,10.0505961868266,14.206127150454929,0.14772930249711855
six_nations_2026_r5,empirical_baseline,5,21.959233438673976,39.311069765713526,28,28,26.563995336958946,29.714285714285715,-3.1502903773267703,9.619237113965495,12.654805305360851,0.27401034667807117
six_nations_2026_r5,p3_robust_native,1,3.840352020817421,7.048662647948874,28,28,5.631796821805098,4.535714285714286,1.096082536090813,3.940694193178816,5.2391987653776,0.5679508179336831
six_nations_2026_r5,p3_robust_native,2,7.087611005377192,13.369171698893942,27,27,9.11489418519055,9.851851851851851,-0.7369576666613009,4.001280307544318,5.340206838065897,0.37350901122772934
