engine,fixture_id,target,n,mae
p3_balanced_recent_native,8472337,clean_breaks,46,0.3346467510976658
p3_balanced_recent_native,8472337,offload,46,0.4358092584382079
p3_balanced_recent_native,8472337,runs,46,3.1113771385417706
p3_balanced_recent_native,8472337,tackles,46,2.9857281336909045
p3_balanced_recent_native,8472337,missed_tackles,46,0.8537213613268722
p3_balanced_recent_native,8472337,rucks_won,46,2.4891824110743754
p3_balanced_recent_native,8472337,rucks_lost,46,0.338054936173855
p3_balanced_recent_native,8472337,passes,46,3.281551400953488
p3_balanced_recent_native,8472337,bad_passes,46,0.4165186326944757
p3_balanced_recent_native,8472337,turnovers_conceded,46,0.6536941579211928
p3_balanced_recent_native,8472337,penalties_conceded,46,0.4974832033707371
p3_balanced_recent_native,8472337,yellow_cards,46,0.0166252458351309
p3_balanced_recent_native,8472337,red_cards,46,0.0009992614062063
p3_balanced_recent_native,8472337,metres,46,11.771187211332752
empirical_raw,8472346,minutes,46,6.922543362924268
empirical_raw,8472346,tries,46,0.1646241527344985
empirical_raw,8472346,try_assists,46,0.1548556684256945
empirical_raw,8472346,conversion_goals,46,0.0720777057780338
empirical_raw,8472346,missed_conversion_goals,46,0.0387316145421504
empirical_raw,8472346,penalty_goals,46,0.0640853999561972
empirical_raw,8472346,missed_penalty_goals,46,0.0113124034386928
empirical_raw,8472346,drop_goals_converted,46,0.0006331227775831
empirical_raw,8472346,drop_goal_missed,46,0.0030506747999944
empirical_raw,8472346,defenders_beaten,46,0.8151567455741354
empirical_raw,8472346,clean_breaks,46,0.2488385228578363
empirical_raw,8472346,offload,46,0.4099910300145519
empirical_raw,8472346,runs,46,1.6958239268803343
empirical_raw,8472346,tackles,46,1.9070722356405327
empirical_raw,8472346,missed_tackles,46,0.6684800508303117
empirical_raw,8472346,rucks_won,46,1.5307296905353285
empirical_raw,8472346,rucks_lost,46,0.2281954433187221
empirical_raw,8472346,passes,46,2.090553107520046
empirical_raw,8472346,bad_passes,46,0.5122575181540232
empirical_raw,8472346,turnovers_conceded,46,0.6200987935797364
empirical_raw,8472346,penalties_conceded,46,0.5439698266202706
empirical_raw,8472346,yellow_cards,46,0.0841641098303846
empirical_raw,8472346,red_cards,46,0.002457923800807
empirical_raw,8472346,metres,46,10.67248536484102
p3_robust_native,8472346,minutes,46,6.228490684189116
p3_robust_native,8472346,tries,46,0.1679462271695437
p3_robust_native,8472346,try_assists,46,0.1624335097295986
p3_robust_native,8472346,conversion_goals,46,0.065954673035418
p3_robust_native,8472346,missed_conversion_goals,46,0.0376037795715152
p3_robust_native,8472346,penalty_goals,46,0.0580228476775455
p3_robust_native,8472346,missed_penalty_goals,46,0.0093027299007011
p3_robust_native,8472346,drop_goals_converted,46,0.0002405721331007
p3_robust_native,8472346,drop_goal_missed,46,0.001957236551644
p3_robust_native,8472346,defenders_beaten,46,0.8300628415236624
p3_robust_native,8472346,clean_breaks,46,0.2507054575746256
p3_robust_native,8472346,offload,46,0.4184359673729578
p3_robust_native,8472346,runs,46,1.6938081205790851
p3_robust_native,8472346,tackles,46,1.854744290634095
p3_robust_native,8472346,missed_tackles,46,0.6576947369743571
p3_robust_native,8472346,rucks_won,46,1.4838869176593847
p3_robust_native,8472346,rucks_lost,46,0.2533558765240932
p3_robust_native,8472346,passes,46,2.5553227324095267
p3_robust_native,8472346,bad_passes,46,0.5247539400119774
p3_robust_native,8472346,turnovers_conceded,46,0.6201054833808884
p3_robust_native,8472346,penalties_conceded,46,0.5482138646387567
p3_robust_native,8472346,yellow_cards,46,0.0800317684871965
p3_robust_native,8472346,red_cards,46,0.0007556399774134
p3_robust_native,8472346,metres,46,10.501300205179868
p3_balanced_native,8472346,minutes,46,6.105171008977669
p3_balanced_native,8472346,tries,46,0.1659075510062767
