engine,rubric,tournament,fold,mae,spearman,mean_capture,slates
E4_three_empirical_plus_naive_phase2,ncr,six_nations,six_nations_2023,5.468481296823346,0.6301590559567728,0.7702213271788905,5
E4_three_empirical_plus_naive_phase2,ncr,six_nations,six_nations_2024,5.3331566246948885,0.5924843214584199,0.7476933464485408,5
E4_three_empirical_plus_naive_phase2,ncr,six_nations,six_nations_2025,6.021363009161476,0.5660319873643831,0.7505638887419022,5
E4_three_empirical_plus_naive_phase2,ncr,six_nations,six_nations_2026,6.207372733620074,0.6102383592048661,0.8214993020166641,5
E4_three_empirical_plus_naive_phase2,ncr,summer_internationals,summer_internationals_2022,6.266562507226298,0.4533532607406112,0.6140121990554864,5
E4_three_empirical_plus_naive_phase2,ncr,summer_internationals,summer_internationals_2023,5.653863075091972,0.48943168486106087,0.6965479526437138,6
E4_three_empirical_plus_naive_phase2,ncr,summer_internationals,summer_internationals_2024,7.15550079787247,0.530681380854376,0.3073857297823229,2
E4_three_empirical_plus_naive_phase2,ncr,summer_internationals,summer_internationals_2025,6.881312693128523,0.4661793896870896,0.744595061045364,4
E4_three_empirical_plus_naive_phase2,six_nations,autumn_internationals,autumn_internationals_2022,5.915799365159249,0.6136323209530149,0.7485945129157959,5
E4_three_empirical_plus_naive_phase2,six_nations,autumn_internationals,autumn_internationals_2024,6.012159727681298,0.6347131327226186,0.7537939939327565,2
E4_three_empirical_plus_naive_phase2,six_nations,autumn_internationals,autumn_internationals_2025,7.154577247015431,0.6757932320767748,0.7801814130983269,2
E4_three_empirical_plus_naive_phase2,six_nations,british_irish_lions,british_irish_lions_2025,5.8676820505680425,0.5925413318906653,0.7922766670040275,7
E4_three_empirical_plus_naive_phase2,six_nations,nations_championship,nations_championship_2026,6.419862414284056,0.6285683063779437,0.7262556629892817,2
E4_three_empirical_plus_naive_phase2,six_nations,pacific_nations_cup,pacific_nations_cup_2024,7.558319416219692,0.6405490147915196,0.8015187954709696,4
E4_three_empirical_plus_naive_phase2,six_nations,pacific_nations_cup,pacific_nations_cup_2025,7.789529385448284,0.6185622210968506,0.7597438824064024,4
E4_three_empirical_plus_naive_phase2,six_nations,rugby_championship,rugby_championship_2022,5.419158798659802,0.6244795446910337,0.7891125693770357,6
E4_three_empirical_plus_naive_phase2,six_nations,rugby_championship,rugby_championship_2023,5.731490858400389,0.6735043424263091,0.836477422348183,3
E4_three_empirical_plus_naive_phase2,six_nations,rugby_championship,rugby_championship_2024,5.502104092680335,0.6792953255527312,0.8170009710560281,6
E4_three_empirical_plus_naive_phase2,six_nations,rugby_championship,rugby_championship_2025,6.191602534690772,0.5886075579638527,0.7562048450062578,6
E4_three_empirical_plus_naive_phase2,six_nations,rugby_world_cup,rugby_world_cup_2023,6.264257640074111,0.6360062470580622,0.798005398991161,9
E4_three_empirical_plus_naive_phase2,six_nations,six_nations,six_nations_2022,5.499869550487039,0.6557919335975159,0.782211675172268,5
E4_three_empirical_plus_naive_phase2,six_nations,six_nations,six_nations_2023,5.51881205855461,0.7008307739790381,0.8088589717941996,5
E4_three_empirical_plus_naive_phase2,six_nations,six_nations,six_nations_2024,5.243576017447497,0.6934852412724066,0.8198985223483811,5
E4_three_empirical_plus_naive_phase2,six_nations,six_nations,six_nations_2025,5.979399403354522,0.6525903820264916,0.7924247677007293,5
E4_three_empirical_plus_naive_phase2,six_nations,six_nations,six_nations_2026,5.9546462688986015,0.6949453848240115,0.8461963137970198,5
E4_three_empirical_plus_naive_phase2,six_nations,summer_internationals,summer_internationals_2022,6.2723545576061115,0.5738005142097276,0.7237120558942718,5
E4_three_empirical_plus_naive_phase2,six_nations,summer_internationals,summer_internationals_2023,5.797931195455816,0.5935903028853943,0.749347753413463,6
E4_three_empirical_plus_naive_phase2,six_nations,summer_internationals,summer_internationals_2024,8.337138259012235,0.6219474820947211,0.3039925010638893,2
E4_three_empirical_plus_naive_phase2,six_nations,summer_internationals,summer_internationals_2025,6.816133046069954,0.5554621711576433,0.7644279610557488,4
empirical_empirical_t3_eb_off_ebk_head_only,ncr,autumn_internationals,autumn_internationals_2022,5.771451662869366,0.5191205633357499,0.6873444292463694,5
empirical_empirical_t3_eb_off_ebk_head_only,ncr,autumn_internationals,autumn_internationals_2024,5.807828545159362,0.5678766710754635,0.7164363786820009,2
empirical_empirical_t3_eb_off_ebk_head_only,ncr,autumn_internationals,autumn_internationals_2025,6.937988829015296,0.5043929257875346,0.6561159993295389,2
empirical_empirical_t3_eb_off_ebk_head_only,ncr,british_irish_lions,british_irish_lions_2025,5.904866002952105,0.491831850718152,0.7360700980791142,7
empirical_empirical_t3_eb_off_ebk_head_only,ncr,nations_championship,nations_championship_2026,6.346291737942527,0.5635997786771648,0.696067664091656,2
empirical_empirical_t3_eb_off_ebk_head_only,ncr,pacific_nations_cup,pacific_nations_cup_2024,7.184838988188624,0.551201099816224,0.7628535051006422,4
empirical_empirical_t3_eb_off_ebk_head_only,ncr,pacific_nations_cup,pacific_nations_cup_2025,7.388814445992356,0.5790127703715744,0.7545160231699506,4
empirical_empirical_t3_eb_off_ebk_head_only,ncr,rugby_championship,rugby_championship_2022,5.342196015775379,0.5104396647787449,0.7441644260966703,6
empirical_empirical_t3_eb_off_ebk_head_only,ncr,rugby_championship,rugby_championship_2023,5.836662445904253,0.5556205174461191,0.7886235311513277,3
empirical_empirical_t3_eb_off_ebk_head_only,ncr,rugby_championship,rugby_championship_2024,5.428540490919872,0.6063203753288003,0.7922991622677027,6
empirical_empirical_t3_eb_off_ebk_head_only,ncr,rugby_championship,rugby_championship_2025,5.998915019859315,0.5174316209194786,0.7090481243280488,6
empirical_empirical_t3_eb_off_ebk_head_only,ncr,rugby_world_cup,rugby_world_cup_2023,6.252331966515679,0.5449873295958574,0.7320779065003308,9
empirical_empirical_t3_eb_off_ebk_head_only,ncr,six_nations,six_nations_2022,5.578298187087599,0.5362764984669119,0.7321328488360438,5
empirical_empirical_t3_eb_off_ebk_head_only,ncr,six_nations,six_nations_2023,5.515864319637517,0.61762515310369,0.77072282684371,5
empirical_empirical_t3_eb_off_ebk_head_only,ncr,six_nations,six_nations_2024,5.320928418942564,0.5879994517625635,0.7492035277509623,5
empirical_empirical_t3_eb_off_ebk_head_only,ncr,six_nations,six_nations_2025,5.962642515118026,0.5649479776526768,0.7513370522132531,5
empirical_empirical_t3_eb_off_ebk_head_only,ncr,six_nations,six_nations_2026,6.274367590374093,0.6064664998763798,0.7930853173447294,5
empirical_empirical_t3_eb_off_ebk_head_only,ncr,summer_internationals,summer_internationals_2022,6.325276311402359,0.4295147850161971,0.6090427955726863,5
empirical_empirical_t3_eb_off_ebk_head_only,ncr,summer_internationals,summer_internationals_2023,5.70476058103592,0.4730683041362486,0.6921028101102334,6
empirical_empirical_t3_eb_off_ebk_head_only,ncr,summer_internationals,summer_internationals_2024,7.071592344071027,0.507060054393553,0.2768930847946875,2
empirical_empirical_t3_eb_off_ebk_head_only,ncr,summer_internationals,summer_internationals_2025,7.063417775589205,0.448707955148502,0.6943943357313014,4
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,autumn_internationals,autumn_internationals_2022,5.982037570534753,0.6099920202636111,0.7385530952960244,5
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,autumn_internationals,autumn_internationals_2024,5.8844639270741546,0.6311232189793083,0.7276753695908849,2
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,autumn_internationals,autumn_internationals_2025,7.388269931028577,0.6652202089995927,0.7337338657585467,2
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,british_irish_lions,british_irish_lions_2025,5.958764682860691,0.5858329819672464,0.7958751828363756,7
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,nations_championship,nations_championship_2026,6.450281174808724,0.6285465782124506,0.7000653110021702,2
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,pacific_nations_cup,pacific_nations_cup_2024,7.612636243498409,0.628462614061309,0.8198892275568839,4
