engine,rubric,tournament,mae,spearman,mean_capture,slates,mae_raw,mae_calibrated,slates_cal
naive_comparator,six_nations,british_irish_lions,6.016884141770718,0.5466258678763986,0.7518802389661882,7,6.016884141770718,6.1306031131872425,7
naive_comparator,six_nations,nations_championship,6.928503969802093,0.5520564627314846,0.5689150736847443,2,6.928503969802093,6.89695425434005,2
naive_comparator,six_nations,pacific_nations_cup,7.914863330555685,0.6101468629926935,0.7329896086730155,8,7.914863330555685,7.9793542542038915,8
naive_comparator,six_nations,rugby_championship,5.962905234617477,0.5808859447468293,0.740000839424915,21,5.962905234617477,6.17862622079227,21
naive_comparator,six_nations,rugby_world_cup,6.631704824401171,0.578736626625131,0.7187603515677078,9,6.631704824401171,6.698886001856673,9
naive_comparator,six_nations,six_nations,5.90555893263918,0.6402149958800368,0.7609548151464374,25,5.90555893263918,6.021688825644485,25
naive_comparator,six_nations,summer_internationals,6.576356586385385,0.5571325764758881,0.6558091743903691,17,6.576356586385385,6.862373923927039,17
p3_event_50_frozen,ncr,autumn_internationals,6.0849376691533745,0.5162569711044149,0.6712848850354234,9,6.0849376691533745,6.044824727297795,9
p3_event_50_frozen,ncr,british_irish_lions,5.860703450974687,0.5055327596043215,0.7413282946912128,7,5.860703450974687,5.8210835001441765,7
p3_event_50_frozen,ncr,nations_championship,6.3767056348404925,0.5510980078904528,0.6736938368710106,2,6.3767056348404925,6.35744557189805,2
p3_event_50_frozen,ncr,pacific_nations_cup,7.3848616502797,0.5665743605459537,0.7577092041478819,8,7.3848616502797,7.486779789122065,8
p3_event_50_frozen,ncr,rugby_championship,6.014191484816844,0.5402245674597383,0.7420967421932607,21,6.014191484816844,5.916254707200558,21
p3_event_50_frozen,ncr,rugby_world_cup,6.429790159505405,0.5435488432568314,0.7280633502517994,9,6.429790159505405,6.361020687711207,9
p3_event_50_frozen,ncr,six_nations,5.819068297015402,0.5820403032218756,0.7641854620652775,25,5.819068297015402,5.787585242803178,25
p3_event_50_frozen,ncr,summer_internationals,6.332715434421512,0.46603911687012656,0.620905064881062,17,6.332715434421512,6.285451671394558,17
p3_event_50_frozen,six_nations,autumn_internationals,6.352337756262439,0.6174027567854354,0.7381547604206796,9,6.352337756262439,6.3321075104374405,9
p3_event_50_frozen,six_nations,british_irish_lions,5.902405205167847,0.5973230002456352,0.7958765390462312,7,5.902405205167848,5.8690138241492855,7
p3_event_50_frozen,six_nations,nations_championship,6.471953178997097,0.6190433804891278,0.7132294569470976,2,6.471953178997097,6.451996240592808,2
p3_event_50_frozen,six_nations,pacific_nations_cup,7.790740689967426,0.6248681212861789,0.7865684168667832,8,7.790740689967426,7.876140175385305,8
p3_event_50_frozen,six_nations,rugby_championship,6.082382094495817,0.6329874984611312,0.7909184569591021,21,6.082382094495817,6.013880418952748,21
p3_event_50_frozen,six_nations,rugby_world_cup,6.483335035642728,0.635939683890885,0.7846966156570792,9,6.483335035642728,6.410227432041913,9
p3_event_50_frozen,six_nations,six_nations,5.76976493285192,0.6733650904416834,0.8066474248211953,25,5.76976493285192,5.754870875057852,25
p3_event_50_frozen,six_nations,summer_internationals,6.5316065074332315,0.572430837049359,0.6813078421558165,17,6.5316065074332315,6.496730568510166,17
v4_only,ncr,autumn_internationals,6.314420855601082,0.49931038784456494,0.6599451466604134,9,6.314420855601082,6.242772122188922,9
v4_only,ncr,british_irish_lions,5.9435968128641745,0.5039486584418008,0.7431045952124553,7,5.943596812864176,5.922059102774678,7
v4_only,ncr,nations_championship,6.758254765113492,0.5270670561212574,0.6316848460090911,2,6.758254765113492,6.614199521111647,2
v4_only,ncr,pacific_nations_cup,7.651798712503962,0.5521659362724248,0.7493476604213185,8,7.651798712503962,7.896113092551466,8
v4_only,ncr,rugby_championship,6.679910207884587,0.5209823554352957,0.7299100960201402,21,6.679910207884587,6.282206094936382,21
v4_only,ncr,rugby_world_cup,7.131395851231027,0.5067696189534412,0.664082069575567,9,7.131395851231027,6.8047330915499735,9
v4_only,ncr,six_nations,6.060912483890191,0.5572102921602383,0.7470848718456533,25,6.060912483890191,5.993682400570915,25
v4_only,ncr,summer_internationals,6.446967286463134,0.4586796893106496,0.6142093172980302,17,6.446967286463134,6.3677030384369715,17
v4_only,six_nations,autumn_internationals,6.563710276550959,0.6029789126031491,0.6865564951536646,9,6.563710276550959,6.540990341012742,9
v4_only,six_nations,british_irish_lions,6.01379563534156,0.5991701711850326,0.797735753918335,7,6.01379563534156,5.944091457661373,7
v4_only,six_nations,nations_championship,6.815259599696374,0.6025848556206829,0.6785705536805771,2,6.815259599696374,6.681688263136007,2
v4_only,six_nations,pacific_nations_cup,8.058089815579049,0.6078068992797745,0.763091347718499,8,8.058089815579049,8.241276855429039,8
v4_only,six_nations,rugby_championship,6.667471195577576,0.6166121044952961,0.7799459066780992,21,6.667471195577576,6.379439169967836,21
v4_only,six_nations,rugby_world_cup,7.147436282487261,0.6080783693145269,0.7240231617930194,9,7.147436282487261,6.8922488928624,9
v4_only,six_nations,six_nations,6.029876925383286,0.65121856725541,0.7883927659028402,25,6.029876925383286,5.988895541182054,25
v4_only,six_nations,summer_internationals,6.667758531840208,0.5651668790789526,0.6788158173634287,17,6.667758531840208,6.597889437668762,17
