id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,fantasy_id,expected_points,starter_exp,supersub_exp
113765,Peceli Yato,Fiji,2,Loose Forward,4.0,0.4,P,England,True,6,2567,-2.8,1.0,17.15,64.2,113765,16.90425,16.90425,8.452125
109648,Seb Atkinson,England,1,Centre,4.0,1.1,P,Fiji,False,5,0,2.8,1.0,15.29,77.2,109648,15.38175,15.38175,7.690875
251438,Keijiro Tamefusa,Japan,2,Prop,3.0,0.1,B,Ireland,True,22,1373,-19.8,0.998,17.08,18.1,251438,7.125,7.125,21.375
237271,Eddie James,Wales,1,Centre,5.0,0.7,P,Argentina,False,11,2180,-20.2,1.0,11.68,71.0,237271,11.4425,11.4425,5.72125
113737,Jack van Poortvliet,England,1,Scrum Half,4.0,0.9,P,Fiji,False,25,2565,2.8,1.0,14.93,54.7,113737,11.54875,11.54875,5.774375
172284,Muhamed Hasa,Italy,1,Prop,3.5,0.1,B,New Zealand,False,9,2055,-33.5,0.962,14.28,28.5,172284,8.495,8.495,25.485
150038,Tyrel Lomax,New Zealand,2,Prop,5.0,1.5,P,Italy,True,48,1327,33.5,0.962,9.78,55.2,150038,11.4575,11.4575,5.72875
118619,Sam Costelow,Wales,1,Fly Half,4.0,0.1,P,Argentina,False,23,1852,-20.2,1.0,16.23,59.9,118619,15.52125,15.52125,7.760625
151974,Billy Proctor,New Zealand,2,Centre,6.0,0.4,P,Italy,True,12,2641,33.5,0.962,22.18,71.5,151974,18.764,18.764,9.382
237233,Ross Vintcent,Italy,1,Loose Forward,4.5,6.2,P,New Zealand,False,20,1764,-33.5,0.962,23.69,70.4,237233,23.70325,23.70325,11.851625
245177,Tiennan Costley,Japan,2,Loose Forward,4.5,0.2,B,Ireland,True,12,2962,-19.8,0.998,20.85,15.3,245177,7.02875,7.02875,21.08625
182833,Taniela Tupou,Australia,2,Prop,4.0,1.4,B,France,True,53,1295,-4.9,1.0,11.42,27.5,182833,5.9245,5.9245,17.7735
168641,Dillon Lewis,Wales,1,Prop,3.5,2.2,P,Argentina,False,31,987,-20.2,1.0,15.69,52.8,168641,13.74175,13.74175,6.870875
164759,Ben Warren,Wales,1,Prop,3.0,0.2,B,Argentina,False,1,909,-20.2,1.0,14.68,34.0,164759,6.60575,6.60575,19.817249999999998
237078,Canan Moodie,South Africa,2,Back Three,6.5,1.0,P,Scotland,True,24,3051,25.7,1.0,17.52,72.8,237078,15.5245,15.5245,7.76225
208971,Franco Molina,Argentina,2,Lock,5.0,0.8,B,Wales,True,21,1351,20.2,1.0,15.59,26.5,208971,6.73825,6.73825,20.21475
198661,Dylan Riley,Japan,2,Centre,5.0,1.3,P,Ireland,True,39,2315,-19.8,0.998,11.41,78.9,198661,11.643,11.643,5.8215
207407,Demba Bamba,France,1,Prop,4.5,4.6,P,Australia,False,21,2156,4.9,1.0,13.68,47.0,207407,11.6305,11.6305,5.81525
199383,Ciaran Frawley,Ireland,1,Fly Half,4.5,0.5,P,Japan,False,14,2345,19.8,0.998,18.03,67.0,199383,16.19825,16.19825,8.099125
154414,Kanji Shimokawa,Japan,2,Loose Forward,4.0,0.6,P,Ireland,True,24,3504,-19.8,0.998,12.87,67.6,154414,18.80675,18.80675,9.403375
109697,Nolann le Garrec,France,1,Scrum Half,4.0,0.7,B,Australia,False,16,3911,4.9,1.0,21.32,14.6,109697,6.622,6.622,19.866
105892,Adam Beard,Wales,1,Lock,4.0,2.6,P,Argentina,False,45,2706,-20.2,1.0,12.35,69.1,105892,17.91175,17.91175,8.955875
136875,Gianmarco Lucchesi,Italy,1,Hooker,3.5,0.4,B,New Zealand,False,32,0,-33.5,0.962,22.73,27.6,136875,11.02125,11.02125,33.06375
239482,Asher Opoku-Fordjour,England,1,Prop,3.5,0.2,B,Fiji,False,7,0,2.8,1.0,13.08,21.9,239482,6.179,6.179,18.537
261209,Sojiro Otsuka,Japan,2,Prop,3.0,0.1,B,Ireland,True,1,0,-19.8,0.998,15.33,21.0,261209,7.20525,7.20525,21.615750000000002
