Player,Nation,Position,MP,POTM,MC,DB,OF,T,As,C,Pen,DG,SW,50-22,Ta,BS,LS,CPen,YC,RC ,AP
M. Spagnolo,Italy,Centre,3,0,18,0,0,0,0,0,0,0,6,0,17,0,0,3,0,0,6.7
G. Zilocchi,Italy,Centre,2,0,2,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,6.5
J. Dobie,Scotland,Scrum-half,3,0,30,3,0,0,0,0,0,0,0,0,6,1,0,0,0,0,6.3
K. Assiratti,Wales,Centre,4,0,45,0,1,0,0,0,0,0,8,0,16,0,0,3,0,0,6.3
J. Adams,Wales,Back Row,2,0,84,3,1,0,0,0,0,0,0,0,3,0,0,2,1,0,6.0
T. Furlong,Ireland,Centre,1,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,6.0
R. Sutherland,Scotland,Centre,4,0,73,1,0,0,0,0,0,0,7,0,11,0,0,2,0,0,6.0
E. Lloyd,Wales,Centre,3,0,53,2,1,0,0,0,0,0,5,0,10,0,0,3,1,0,5.7
D. Lamb,Italy,Wing,3,0,9,1,0,0,0,0,0,0,5,0,17,0,0,3,1,0,5.3
J. Trulla,Italy,Back Row,2,0,27,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5.0
I. Henderson,Ireland,Wing,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5.0
G. McCarthy,Ireland,Centre,2,0,8,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,5.0
M. Riccioni,Italy,Centre,3,0,16,0,0,0,0,0,0,0,1,0,23,0,0,4,1,0,5.0
J. Boyle,Ireland,Centre,2,0,7,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,5.0
H. Auradou,France,Wing,4,0,10,1,0,0,0,0,0,0,2,0,12,1,0,2,0,0,4.8
A. Garbisi,Italy,Scrum-half,3,0,9,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,4.0
M. Sykes,Scotland,Wing,1,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.0
T. Clarkson,Ireland,Centre,4,0,26,1,0,0,0,0,0,0,5,0,10,0,0,3,0,0,3.8
J. van Poortvliet,England,Scrum-half,2,0,10,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,3.5
B. Muncaster,Scotland,Fly-half,1,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3.0
T. Hill,England,Wing,2,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2.5
N. Le Garrec,France,Scrum-half,3,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,2.3
R. Williams,Wales,Scrum-half,4,0,14,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2.3
H. Randall,England,Scrum-half,2,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2.0
C. Murray,Ireland,Scrum-half,5,0,8,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2.0
M. Gallagher,Italy,Back Row,1,0,21,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2.0
W. Hurd,Scotland,Centre,4,0,40,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,1.8
S. Skinner,Scotland,Wing,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0
