slate,competition,season,candidate,comparator,unknown_selected,delta_total,delta_xv,delta_captain_extra,delta_super_sub,delta_mae
six_nations_2025_r5,six_nations,2025,role_calibration,incumbent,0,78.0,15.0,0.0,63.0,0.14064299397169222
six_nations_2026_r1,six_nations,2026,role_calibration,incumbent,0,-39.0,-21.0,0.0,-18.0,0.36065045658783657
six_nations_2026_r2,six_nations,2026,role_calibration,incumbent,0,36.0,51.0,-15.0,0.0,-0.24643046344455488
six_nations_2026_r3,six_nations,2026,role_calibration,incumbent,0,4.0,1.0,0.0,3.0,-0.1766226863187299
six_nations_2026_r4,six_nations,2026,role_calibration,incumbent,0,12.0,43.0,-31.0,0.0,0.12178172053835556
six_nations_2026_r5,six_nations,2026,role_calibration,incumbent,0,-13.0,12.0,14.0,-39.0,0.06533882764978127
ncr_2026_r1,ncr,2026,role_calibration,incumbent,0,-53.0,-41.0,0.0,-12.0,-0.035418411568116426
ncr_2026_r2,ncr,2026,role_calibration,incumbent,0,130.0,68.0,62.0,0.0,-0.2704814148278416
ncr_2026_r3,ncr,2026,role_calibration,incumbent,0,-1.0,-13.0,0.0,12.0,-0.3948927458362963
six_nations_2025_r1,six_nations,2025,kicking_role_gate,incumbent,0,48.0,-3.0,-6.0,57.0,-0.9068876727445465
six_nations_2025_r2,six_nations,2025,kicking_role_gate,incumbent,0,11.0,-19.0,0.0,30.0,-0.03735996443899747
six_nations_2025_r3,six_nations,2025,kicking_role_gate,incumbent,0,-9.0,15.0,0.0,-24.0,0.174199121186712
six_nations_2025_r4,six_nations,2025,kicking_role_gate,incumbent,0,-32.0,-51.0,-8.0,27.0,-0.283617909087325
six_nations_2025_r5,six_nations,2025,kicking_role_gate,incumbent,0,78.0,15.0,0.0,63.0,0.06035184527389337
six_nations_2026_r1,six_nations,2026,kicking_role_gate,incumbent,0,-55.0,-21.0,-16.0,-18.0,0.3081647777713661
six_nations_2026_r2,six_nations,2026,kicking_role_gate,incumbent,0,36.0,51.0,-15.0,0.0,-0.21580468898125194
six_nations_2026_r3,six_nations,2026,kicking_role_gate,incumbent,0,-23.0,1.0,0.0,-24.0,-0.11677956650832755
six_nations_2026_r4,six_nations,2026,kicking_role_gate,incumbent,0,12.0,43.0,-31.0,0.0,-0.1971087866837271
six_nations_2026_r5,six_nations,2026,kicking_role_gate,incumbent,0,-13.0,12.0,14.0,-39.0,-0.08887584332642273
ncr_2026_r1,ncr,2026,kicking_role_gate,incumbent,0,-53.0,-41.0,0.0,-12.0,-0.038777363432922485
ncr_2026_r2,ncr,2026,kicking_role_gate,incumbent,0,130.0,68.0,62.0,0.0,-0.2701276846560141
ncr_2026_r3,ncr,2026,kicking_role_gate,incumbent,0,-1.0,-13.0,0.0,12.0,-0.14737843408131823
